Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
3,1259,0.20771455764770508,9911409,360.0,1097,-20.170133352279663,1,0,1
1,259,0.06265640258789062,9913553,363.0,9821,-176.04583883285522,1,0,1
3,1260,0.08535981178283691,9916833,544.0,1078,-19.88860434293747,1,0,1
2,243,0.061424970626831055,9926499,335.0,9821,-176.19928693771362,1,0,1
2,244,0.17120885848999023,9928568,123.0,389,-7.03474348783493,1,0,1
2,245,0.08773446083068848,9930525,116.0,381,-6.703601628541946,1,0,1
0,257,0.06848978996276855,9930726,329.0,9824,-175.67217227816582,1,0,1
2,246,0.11135315895080566,9932433,112.0,374,-6.74964964389801,1,0,1
2,247,0.14469242095947266,9934734,129.0,437,-8.392196714878082,1,0,1
4,1208,0.20297646522521973,9935940,479.0,5299,-94.52613091468811,1,0,1
3,1261,0.13335585594177246,9936668,468.0,3985,-70.80239951610565,1,0,1
4,1209,0.044126272201538086,9943265,587.0,1464,-26.19813947379589,1,0,1
3,1262,0.10706090927124023,9945372,785.0,1740,-30.72312891483307,1,0,1
3,1263,0.0836784839630127,9947320,125.0,378,-6.64663091301918,1,0,1
4,1210,0.20928096771240234,9952099,763.0,1749,-31.937605261802673,1,0,1
3,1264,0.01761937141418457,9953382,743.0,1203,-21.028421357274055,1,0,1
4,1211,0.0689237117767334,9957759,602.0,1124,-20.268540382385254,1,0,1
1,260,0.06540846824645996,9962426,349.0,9822,-176.75166788697243,1,0,1
4,1212,0.20383930206298828,9963249,649.0,1099,-19.138590037822723,1,0,1
3,1265,0.0768120288848877,9963677,594.0,2077,-37.77748566865921,1,0,1
4,1213,0.022908926010131836,9968021,493.0,955,-17.015678994357586,1,0,1
3,1266,0.021115541458129883,9968521,461.0,955,-17.241265319287777,1,0,1
